Species,Fire exposure (%),Metal exposure (%)
Abarema_auriculata,0.94,2.69
Abarema_floribunda,0.67,4.98
Abarema_jupunba,2.57,21.81
Abarema_laeta,0.54,10.23
Abarema_mataybifolia,1.57,5.75
Abarema_piresii,4.72,5.53
Abarema_villifera,0.71,0
Abolboda_americana,0.77,6.38
Abolboda_grandis,0.48,29.74
Abolboda_killipii,1.02,16.73
Abrus_fruticulosus,6.89,4.16
Abuta_barbata,0.12,10.41
Abuta_candollei,0.29,11.84
Abuta_grandifolia,3.06,18.76
Abuta_obovata,0.56,9.12
Abuta_pahni,1.37,1.22
Abuta_rufescens,1.87,19.78
Abuta_solimoesensis,1.2,1.95
Abuta_velutina,0.88,3.44
Acalypha_acuminata,16.21,0
Acalypha_salicifolia,0.98,2.2
Acalypha_scandens,1.72,6.35
Acalypha_stenoloba,1.87,6.16
Achyrocline_vargasiana,0.59,0.6
Acianthera_casapensis,2.37,0
Acianthera_ciliata,5.83,1.88
Acianthera_miqueliana,0.93,0
Acineta_alticola,0.66,0.14
Acioa_dolichopoda,0.22,0.14
Acioa_edulis,0.62,0.28
Acioa_schultesii,0.14,0.02
Aciotis_annua,3.37,15.85
Aciotis_ferreirana,0.8,0
Aciotis_purpurascens,1.41,14.32
Aciotis_viscida,1.11,4.34
Acisanthera_tetraptera,1.75,0
Acmanthera_cowanii,2.43,0.01
Acmanthera_latifolia,1.52,0.62
Acmella_ciliata,2.83,7.68
Acrocomia_aculeata,6.45,9.96
Actinostemon_amazonicus,3.05,6.02
Actinostemon_klotzschii,14.77,5.76
Actinostemon_schomburgkii,4.05,10.2
Adelobotrys_adscendens,0.69,10.39
Adelobotrys_klugii,1,1.85
Adelobotrys_linearifolia,0.37,0.86
Adelobotrys_permixta,0.48,0.42
Adelobotrys_scandens,0.59,4.65
Adelobotrys_spruceana,1.8,0.87
Adelobotrys_tessmannii,0.78,2.05
Adenocalymma_allamandiflorum,10.72,25.3
Adenocalymma_bracteolatum,6.78,8.07
Adenocalymma_cladotrichum,0.85,10.96
Adenocalymma_flaviflorum,2.81,12.63
Adenocalymma_heterophyllum,2.98,0.42
Adenocalymma_patulum,1.79,2.22
Adenocalymma_prancei,0,0.01
Adenocalymma_pseudopatulum,0.46,5.95
Adenocalymma_purpurascens,1.33,2.42
Adenocalymma_saulense,0.09,0.01
Adenocalymma_schomburgkii,1.28,12.04
Adenocalymma_subincanum,5.94,11.02
Adenocalymma_uleanum,4.4,6.35
Adenocalymma_validum,1.36,3.31
Adenolisianthus_arboreus,0.43,1.16
Adenostemma_fosbergii,0.39,1.24
Adenostemma_platyphyllum,1.4,4.17
Aechmea_angustifolia,1.59,10.38
Aechmea_bromeliifolia,3.65,8.85
Aechmea_castelnavii,9.25,6.48
Aechmea_contracta,0.58,1.85
Aechmea_egleriana,1.33,18.46
Aechmea_melinonii,0.14,2.06
Aechmea_rodriguesiana,0.97,0.85
Aechmea_rubiginosa,1.79,3.88
Aechmea_setigera,2.4,13.47
Aechmea_tillandsioides,0.75,10.66
Aechmea_tocantina,3.64,10.99
Aegiphila_hoehnei,0.28,1
Aegiphila_integrifolia,1.77,19.08
Aegiphila_macrantha,0.58,5.1
Aegiphila_martinicensis,3.32,18.57
Aegiphila_membranacea,2.18,10.25
Aegiphila_smithii,1,4.53
Aegiphila_venezuelensis,0.44,1.52
Aegiphila_verticillata,10.18,4.35
Aeschynomene_interrupta,2.38,0
Aeschynomene_rudis,5.04,4.29
Aeschynomene_sensitiva,1.92,10.08
Agouticarpa_velutina,0,0.76
Aiouea_laevis,4.66,9.26
Aiouea_maguireana,0.33,3.84
Aiouea_myristicoides,6.66,4.46
Aiouea_trinervis,9.58,1.46
Alchornea_acutifolia,2.45,2.45
Alchornea_castaneifolia,1.77,7.79
Alchornea_discolor,3.78,17.08
Alchornea_fluviatilis,1.46,5.8
Alchornea_latifolia,0.89,5.04
Alchornea_triplinervia,1.29,14.41
Aldina_insignis,0.14,0.01
Aldina_macrophylla,0.25,0.02
Aldina_microphylla,0,0
Aldina_petiolulata,0.24,0.85
Alexa_confusa,0.52,0.89
Alexa_cowanii,1.07,0.02
Alexa_imperatricis,0.43,5.26
Alexa_wachenheimii,0.2,3.21
Alibertia_bertierifolia,3.38,17.69
Alibertia_claviflora,1.14,5.36
Alibertia_edulis,4.34,18.89
Alibertia_latifolia,1.35,10.12
Alibertia_pilosa,1.74,4.91
Alibertia_sorbilis,3.93,3.8
Allantoma_decandra,1.5,5.78
Allantoma_integrifolia,0.81,3.87
Allantoma_lineata,2.54,2.05
Alloneuron_ulei,4.2,0
Allophylastrum_frutescens,0,0
Allophylus_angustatus,0.78,0.41
Allophylus_divaricatus,4.09,9.16
Allophylus_glabratus,3.49,0.09
Allophylus_incanus,1.3,2.78
Allophylus_loretensis,1.66,2.58
Allophylus_nitidulus,0.72,1.01
Allophylus_pilosus,1.51,19.32
Allophylus_robustus,0.13,0
Allophylus_stenodictyus,0.97,0.9
Allophylus_strictus,6.18,6.24
Alloschemone_occidentalis,1.56,0.3
Alseis_labatioides,2.17,0.01
Alseis_longifolia,0.92,12.41
Alseis_peruviana,2.49,2.47
Alseis_reticulata,2.82,0.18
Alstroemeria_amazonica,15.27,0.01
Amaioua_glomerulata,2.22,18.81
Amanoa_almerindae,0.21,0.2
Amanoa_guianensis,1.89,17.37
Amanoa_sinuosa,2.93,0
Amasonia_campestris,3.32,10.13
Ambelania_occidentalis,0.8,0.79
Ambrosia_peruviana,1.57,1.69
Amorimia_amazonica,4.22,5.01
Ampelozizyphus_amazonicus,0.59,15.12
Amphidasya_neblinae,2.77,0
Amphilophium_aschersonii,1.88,4.01
Amphilophium_campinae,5.9,7.74
Amphilophium_crucigerum,5.57,7.44
Amphilophium_magnoliifolium,2.97,3.55
Amphilophium_paniculatum,3.2,9.96
Amphilophium_pulverulentum,0.51,8.12
Amphilophium_racemosum,1.49,12.26
Amphirrhox_longifolia,1.76,16.79
Anacardium_microsepalum,1.37,6.45
Anacardium_parvifolium,1,2.37
Anacardium_spruceanum,2.61,13.53
Anadenanthera_peregrina,4.76,9.66
Ananas_lucidus,3.43,0
Anaphyllopsis_cururuana,0,0.24
Anathallis_sclerophylla,1.01,3
Anaxagorea_acuminata,2.01,13.01
Anaxagorea_brevipedicellata,0.02,4.49
Anaxagorea_floribunda,0.17,0.33
Ancistrothyrsus_tessmannii,2.14,5.25
Ancistrotropis_peduncularis,7.71,2.89
Andira_coriacea,0.26,2.1
Andira_inermis,1.64,4.79
Andira_macrothyrsa,1.29,3.16
Andira_multistipula,0.9,3.61
Andira_surinamensis,3.47,15.84
Andira_unifoliolata,0.92,0.65
Andropogon_angustatus,4.34,8.3
Andropogon_selloanus,4.23,14.24
Andropogon_virgatus,3.39,15.68
Anemopaegma_colombianum,2.61,0.13
Anemopaegma_floridum,2.89,9.06
Anemopaegma_foetidum,3.1,13.85
Anemopaegma_insculptum,2.26,2.08
Anemopaegma_ionanthum,0.16,2.82
Anemopaegma_jucundum,1.15,0
Anemopaegma_karstenii,1.36,6.42
Anemopaegma_parkeri,2.3,13.42
Anemopaegma_patelliforme,8.99,1.04
Angostura_alipes,0.03,0
Angostura_longiflora,4.64,1.67
Angostura_quinquefolia,18.42,1.27
Angostura_trifoliata,2.19,18.97
Aniba_canelilla,3.61,12.88
Aniba_coto,1.51,4.01
Aniba_excelsa,0.29,8.39
Aniba_guianensis,1.5,11.46
Aniba_hostmanniana,0.76,17.25
Aniba_kappleri,1.25,4.38
Aniba_panurensis,2.21,18.68
Aniba_parviflora,1.87,8.93
Aniba_permollis,4.1,2.63
Aniba_perutilis,0.86,3.27
Aniba_riparia,1.52,15.73
Aniba_santalodora,0.96,0
Aniba_taubertiana,1.95,15.68
Aniba_terminalis,1,6.68
Aniba_vaupesiana,0.37,0
Aniba_williamsii,1.85,16.18
Aniseia_cernua,6.97,2.32
Annona_amazonica,4.72,9.61
Annona_ambotay,1.91,16.95
Annona_asplundiana,0.15,1.05
Annona_calcarata,3.51,1.52
Annona_centrantha,5.83,1.54
Annona_deminuta,0.8,1.48
Annona_edulis,0.62,4.65
Annona_excellens,2.16,5.54
Annona_exsucca,2.51,17.34
Annona_insignis,1.37,1.69
Annona_montana,3.3,18.47
Annona_mucosa,1.59,14.8
Annona_neglecta,1.04,3.32
Annona_nitida,1.03,4.11
Annona_paludosa,2.87,10.99
