"Indigenous territory" "Metal contamination exposure (%)"
"1" "Parque do Tumucumaque" 48.3293413173653
"2" "Koatinemo" 41.848
"3" "Kararaô" 40.3207547169811
"4" "Nukini" 24
"5" "Poyanawa" 24.2222222222222
"6" "Jaminawa do Igarapé Preto" 24.6
"7" "Jaminawa Arara do Rio Bagé" 26
"8" "Kaxinawá da Praia do Carapanã" 24.3684210526316
"9" "Kampa do Rio Amonea" 24.1153846153846
"10" "Kaxinawá Ashaninka do Rio Breu" 25.1538461538462
"11" "Kaxinawá do Rio Jordão" 26
"12" "Alto Tarauacá" 25.8163265306122
"13" "Kampa e Isolados do Rio Envira" 25.8289473684211
"14" "Kaxinawá do Rio Humaitá" 25.3720930232558
"15" "Arara do Igarapé Humaitá" 25.5
"16" "Rio Gregório" 25.5483870967742
"17" "Kaxinawá Colônia Vinte e Sete" 26
"18" "Igarapé do Caucho" 25.5
"19" "Kulina Igarapé do Pau" 25.8235294117647
"20" "Kaxinawá Nova Olinda" 25.8333333333333
"21" "Mamoadate" 26.2959183673469
"22" "Cabeceira do Rio Acre" 26.5925925925926
"23" "Alto Rio Purus" 26.2738095238095
"24" "Galibi" 53
"25" "Jumina" 56.8571428571429
"26" "Uaça" 59.0324675324675
"27" "Waiãpi" 59.020942408377
"28" "Boca do Acre" 28.5555555555556
"29" "Camicua" 27.0555555555556
"30" "Coata-Laranjal" 33.2379679144385
"31" "Deni" 27.4650698602794
"32" "Estrela da Paz" 31
"33" "Gavião" 32
"34" "Guapenu" 29.6666666666667
"35" "Igarapé Grande" 29
"36" "Ipixuna" 31.5774647887324
"37" "Itaitinga" 29.5
"38" "Jaquiri" 30
"39" "Jatuarana" 30
"40" "Katukina/Kaxinawá" 26.6666666666667
"41" "Kaxarari" 31.2244897959184
"42" "Kulina do Medio Jurua" 25.7222222222222
"43" "Lago Aiapua" 31.4285714285714
"44" "Lago do Beruri" 31
"45" "Lameirão" 25
"46" "Lauro Sodré" 25
"47" "Macarrão" 30.75
"48" "Seruini/Mariene" 28.1086956521739
"49" "Meria" 25
"50" "Miratu" 30.8
"51" "Murutinga" 31
"52" "Natal/Felicidade" 29.5
"53" "Nhamundá/Mapuera" 38.1524926686217
"54" "Nove de Janeiro" 31.4722222222222
"55" "Padre" 32
"56" "Paracuhuba" 33
"57" "Paumari do Lago Marahã" 31.025641025641
"58" "Pirahã" 32
"59" "Rio Biá" 27.4754521963824
"60" "Recreio/São Félix" 31
"61" "São Leopoldo" 25.6521739130435
"62" "Tabocal" 31.6666666666667
"63" "Tenharim Marmelos" 32.4025157232704
"64" "Terra Vermelha" 30.6666666666667
"65" "Betania" 28.5454545454545
"66" "Tikúna de Feijoal" 26.1538461538462
"67" "Évare II" 27.6727272727273
"68" "Évare I" 25.7784090909091
"69" "Tukuna Porto Espiritual" 26
"70" "Tikuna de Santo Antonio" 27.5
"71" "Vui-Uata-In" 27.3513513513514
"72" "Trincheira" 32
"73" "Uati-Paraná" 29.9285714285714
"74" "Tukuna Umariaçu" 26.5
"75" "Uneiuxi" 35.037037037037
"76" "Vale do Javari" 24.9468963042698
"77" "Waimiri-Atroari" 37.0723606168446
"78" "Zuruahã" 28.1772151898734
"79" "Alto Turiaçu" 63.7906976744186
"80" "Awa" 63.075
"81" "Caru" 62.1636363636364
"82" "Rio Pindaré" 62.8333333333333
"83" "Apiaka/Kayabi" 43.9714285714286
"84" "Bakairi" 27.1818181818182
"85" "Capoto/Jarina" 45.8076923076923
"86" "Erikbaktsa" 43
"87" "Escondido" 38.5263157894737
"88" "Irantxe" 42.3846153846154
"89" "Japuira" 41.02
"90" "Marechal Rondon" 33.1388888888889
"91" "Menku" 44
"92" "Nambikwara" 41.9701492537313
"93" "Parabubure" 33.4133333333333
"94" "Paresi" 27.1989247311828
"95" "Pimentel Barbosa" 34.1111111111111
"96" "Pirineus de Souza" 41.9
"97" "Rio Formoso" 36
"98" "Santana" 37.8333333333333
"99" "Sararé" 38.9565217391304
"100" "Serra Morena" 40.9615384615385
"101" "Tirecatinga" 41.2325581395349
"102" "Utiariti" 38.4782608695652
"103" "Vale do Guaporé" 40.3253012048193
"104" "Zoró" 40.5762711864407
"105" "Alto Rio Guamá" 64
"106" "Amanayé" 61.3333333333333
"107" "Anambé" 61
"108" "Andirá-Marau" 34.8692307692308
"109" "Apyterewa" 44.7667984189723
"110" "Araweté Igarapé Ipixuna" 42.7845659163987
"111" "Baú" 40.9367588932806
"112" "Xikrin do Rio Catete" 49.5673758865248
"113" "Kayapó" 47.5158878504673
"114" "Cayabi" 39.5405405405405
"115" "Mãe Maria" 57.75
"116" "Munduruku" 37.0945083014049
"117" "Paquiçamba" 45.5
"118" "Parakanã" 53.9741379310345
"119" "Sai-Cinza" 35.8
"120" "Sororó" 54
"121" "Tembé" 63
"122" "Trocará" 58.7142857142857
"123" "Xambioá" 52
"124" "Igarapé Lage" 33.28125
"125" "Igarapé Lourdes" 36.609375
"126" "Igarapé Ribeirão" 33.6923076923077
"127" "Karipuna" 33.0625
"128" "Karitiana" 31.9333333333333
"129" "Rio Mequens" 37.7142857142857
"130" "Pacaas Novas" 34.5384615384615
"131" "Rio Branco" 36.7236842105263
"132" "Rio Guaporé" 34.7105263157895
"133" "Rio Negro Ocaia" 33.9142857142857
"134" "Roosevelt" 41
"135" "Sagarana" 34.6
