species,group,Exposure
Aa_mathewsii,Plants,1.720012575
Abarema_adenophorum,Plants,0.554595597
Abarema_auriculata,Plants,0.698573233
Abarema_brachystachya,Plants,1.156252513
Abarema_callejasii,Plants,0.651122584
Abarema_floribunda,Plants,0.702976287
Abarema_jupunba,Plants,1.0073143
Abarema_laeta,Plants,0.867225036
Abarema_levelii,Plants,7.359940916
Abarema_longipedunculata,Plants,0.76742157
Abarema_mataybifolia,Plants,1.413551653
Abarema_piresii,Plants,1.330755329
Abarema_racemiflora,Plants,1.052113337
Abarema_villifera,Plants,3.14783439
Abatia_canescens,Plants,0.696199817
Abatia_microphylla,Plants,0.253482279
Abatia_parviflora,Plants,0.810759399
Abildgaardia_baeothryon,Plants,0.567689043
Abolboda_acicularis,Plants,0.555942257
Abolboda_americana,Plants,1.303713327
Abolboda_bella,Plants,4.079887793
Abolboda_grandis,Plants,0.987190616
Abolboda_killipii,Plants,1.682118696
Abolboda_linearifolia,Plants,0.853212015
Abolboda_scabrida,Plants,0.995411846
Abolboda_sprucei,Plants,4.473305861
Abramites_hypselonotus,Fishes,0.724060458
Abrocoma_cinerea,Mammals,5.741469939
Abrodictyum_sprucei,Plants,0.489638638
Abrothrix_andinus,Mammals,8.296056771
Abrothrix_jelskii,Mammals,1.982820411
Abrus_fruticulosus,Plants,1.295463929
Aburria_aburri,Birds,1.318886926
Abuta_barbata,Plants,2.846151949
Abuta_bullata,Plants,7.809588638
Abuta_candollei,Plants,1.57927793
Abuta_convexa,Plants,0.886716789
Abuta_grandifolia,Plants,0.991962373
Abuta_grisebachii,Plants,0.921316097
Abuta_mycetandra,Plants,0.771430426
Abuta_obovata,Plants,1.058919291
Abuta_pahni,Plants,0.502725501
Abuta_rufescens,Plants,1.043517487
Abuta_selloana,Plants,1.156252513
Abuta_solimoesensis,Plants,0.64134915
Abuta_velutina,Plants,0.751944531
Abutilon_affine,Plants,1.939279298
Abutilon_anodoides,Plants,2.304921065
Abutilon_aristulosum,Plants,0.561751762
Abutilon_elegans,Plants,2.304921065
Abutilon_esculentum,Plants,1.806539526
Abutilon_falcatum,Plants,2.304921065
Abutilon_geminiflorum,Plants,6.955040227
Abutilon_giganteum,Plants,0.783863135
Abutilon_glaziovii,Plants,2.304921065
Abutilon_ibarrense,Plants,1.000136113
Abutilon_inaequilaterum,Plants,0.306059478
Abutilon_malmeanum,Plants,2.304921065
Abutilon_mollissimum,Plants,0.840517062
Abutilon_pauciflorum,Plants,0.938888314
Abutilon_pedunculare,Plants,0.756449458
Abutilon_peltatum,Plants,0.670229234
